Date,nSPY,n%IRX,n%IRXsmoothed,ntbillEC,nabsmM(5),nabsmM(1),nSELL,ySPY,y%IRX,y%IRXsmoothed,ytbillEC,yabsmM(5),yabsmM(1),ySELL,dSPY,d%IRX,d%IRXsmoothed,dtbillEC,dabsmM(5),dabsmM(1),dSELL,nysellERR,ndsellERR
1999-12-31,98.16058000000001,5.17,1.0002000513669074,100.96958070057326,0.0917296686473641,0.05197072883653697,,98.47043599999999,5.17,1.0002000513669074,13.030822511658888,0.09211475972387784,0.05268470038318762,,98.16058000000001,10.096709669998999,1.000381775128896,10.096709669998999,0.09175090215816595,0.05197148688321995,,,
2000-01-31,93.3152,5.53,1.0002136144261815,101.38522329886189,0.04224720742467136,-0.053478283341444,,93.567856,5.53,1.0002136144261815,13.0844640627974,0.04215652455153984,-0.053903842128547486,,93.3152,10.138135430656401,1.0003832685421925,10.138135430656401,0.04227338827965288,-0.053464667358230855,,,
2000-02-29,91.85324,5.64,1.0002177495033506,101.82062690983368,0.04900332385970518,-0.01996144804139921,,92.143196,5.64,1.0002177495033506,13.140655909253953,0.04939135069337408,-0.0195205024185936,,91.85324,10.181632037354099,1.0003848360082073,10.181632037354099,0.04903915237551293,-0.019957296110028055,,,
2000-03-31,100.755,5.72,1.0002207541393875,102.33609585220819,0.0808940112767138,0.09185033812051513,,101.073189,5.72,1.0002207541393875,13.207180740314453,0.08109904157428649,0.0918517764834883,,100.755,10.2331460112134,1.000386691595158,10.2331460112134,0.08092327701652002,0.09185335730108468,,,
2000-04-28,97.23734,5.65,1.0002181252067726,102.7611643430351,0.02421260442607598,-0.039066658423613565,,97.523445,5.65,1.0002181252067726,13.262038768057387,0.02469617291261872,-0.039274181956681975,,97.23734,10.2756779428738,1.000388222988775,10.2756779428738,0.024231847802666184,-0.039069297700196626,,,
2000-05-31,95.68791,5.49,1.0002121096972625,103.26669327005274,-0.047940591674552446,-0.020853971545885752,SELL,95.990143,5.49,1.0002121096972625,13.327280771408985,-0.047938740475367614,-0.02064184875995234,SELL,95.68791,10.3262907827906,1.0003900445750733,10.3262907827906,-0.04792826162597785,-0.02086001536647375,SELL,,
2000-06-30,97.55054,5.7,1.0002200031927413,103.76587421011749,0.02190621950777283,0.014631776842333633,,97.879372,5.7,1.0002200031927413,13.391703523153163,0.022597788048740686,0.014847588895887442,,97.55054,10.3761251604238,1.0003918373309888,10.3761251604238,0.021912756852274562,0.014639706749582704,,,
2000-07-31,95.95549,6.02,1.0002320013905877,104.24283044798953,0.020871990024629472,-0.0209474767641743,,96.34246800000001,6.02,1.0002320013905877,13.453258023413701,0.021784399215671657,-0.02029848674195678,,95.95549,10.4236936214167,1.0003935478202834,10.4236936214167,0.020886577564658726,-0.020935426212775554,,,
2000-08-31,102.3149,6.11,1.0002353693850972,104.80578927869877,-0.008651050434400398,0.060874125989624384,,102.637573,6.11,1.0002353693850972,13.525911752917612,-0.008655425849138476,0.05994045875959153,,102.3149,10.479951033101901,1.0003955698039868,10.479951033101901,-0.008636085998784626,0.060877511376023374,,,
2000-09-29,96.70365,6.03,1.0002323757528,105.2902073420973,-0.030099412469482667,-0.059464995201626736,SELL,97.006638,6.03,1.0002323757528,13.588429253354779,-0.029910193398050566,-0.0594843707939825,SELL,96.70365,10.528421448083801,1.0003973110879936,10.528421448083801,-0.030084814597132636,-0.05946800197195834,SELL,,
2000-10-31,96.25119000000001,6.15,1.0002368653583333,105.83490096757374,-0.018983024330077036,-0.009852090704269734,SELL,96.552841,6.15,1.0002368653583333,13.658725731834412,-0.01900762202223283,-0.0098512595288196,SELL,96.25119000000001,10.5828402086287,1.0003992651583067,10.5828402086287,-0.01895765901226265,-0.009847578941514556,SELL,,
2000-11-30,89.06567,6.01,1.0002316269932034,106.36310679205866,-0.1120089586264289,-0.07964467750429127,SELL,89.344894,6.01,1.0002316269932034,13.726894345596397,-0.11222357431403018,-0.0796437204889513,SELL,89.06567,10.635713248140698,1.000401162807667,10.635713248140698,-0.11199704664443322,-0.0796499407941823,SELL,,
2000-12-29,88.87711999999999,5.73,1.00022112955965,106.83491646492087,-0.09863306724454968,-0.006552816804713979,SELL,88.87793,5.73,1.00022112955965,13.787784646058117,-0.10234505132715088,-0.009662372109972117,SELL,88.87711999999999,10.6830036834703,1.0004028593284555,10.6830036834703,-0.09864420694942577,-0.006563358472122305,SELL,,
2001-01-31,92.82818,4.84,1.0001875778780984,107.28158727694148,-0.11634352781358592,0.040274366798580985,,92.829338,4.84,1.0001875778780984,13.845430602713526,-0.11918455854748866,0.04027787713234021,,92.82818,10.7280285883486,1.0004044739036762,10.7280285883486,-0.11639243911137764,0.04024068115800561,,,
2001-02-28,83.97353000000001,4.72,1.000183032365894,107.66686193258504,-0.15421295088062292,-0.09897876811971162,SELL,83.974602,4.72,1.000183032365894,13.895152960884152,-0.1569141113752116,-0.09897850463889624,SELL,83.97353000000001,10.7666045171044,1.00040585670112,10.7666045171044,-0.15426339883347961,-0.09898332912116192,SELL,,
2001-03-30,79.26756,4.18,1.0001625131495813,108.07357679124938,-0.19760364623484328,-0.05981864253878222,SELL,79.26892099999999,4.18,1.0001625131495813,13.947642325496117,-0.2001624869847345,-0.059814485614382185,SELL,79.26756,10.8074974152319,1.000407322029282,10.8074974152319,-0.19767955884406352,-0.05983923592037066,SELL,,
