Date,Universe,TimAlg,Signal,Buy/Sell,Value,Frac,DD,spyEC,spyRetNxt,qqqEC,qqqRetNxt
2/26/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.140332,,-0.0313,377.88,4.50%,313.38,1.70%
3/31/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.222665,,0,395.04,5.30%,318.76,5.90%
4/30/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.161103,,-0.0066,415.94,0.70%,337.6,-1.20%
5/28/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.127029,,-0.0049,418.67,0%,333.54,0%
6/1/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.137684,,418.3,0.20%,332.43,0.20%,
6/2/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.139473,,418.96,-0.40%,333.08,-1%,
6/3/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.135243,,417.4,0.90%,329.62,1.70%,
6/4/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.145626,,421.22,-0.10%,335.21,0.30%,
6/7/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.144514,,420.81,0%,336.21,0%,
6/8/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.144757,,420.9,-0.10%,336.37,0%,
6/9/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.143048,,420.28,0.50%,336.45,1%,
6/10/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.148362,,422.23,0.20%,339.96,0.30%,
6/11/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.150258,,422.93,0.20%,340.84,1%,
6/14/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.152833,,423.87,-0.20%,344.11,-0.70%,
6/15/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.150718,,423.1,-0.60%,341.86,-0.40%,
6/16/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.144292,,420.73,0%,340.62,1.30%,
6/17/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.143911,,420.59,-1.30%,344.94,-0.80%,
6/18/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.128477,,414.92,1.40%,342.23,0.60%,
6/21/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.144632,,420.86,0.50%,344.36,0.90%,
6/22/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.150751,,423.11,-0.10%,347.57,0%,
6/23/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.149362,,422.6,0.60%,347.74,0.60%,
6/24/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.15616,,425.1,0.40%,349.89,-0.10%,
6/25/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.160266,,426.61,0.20%,349.46,1.20%,
6/28/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.162603,,427.47,0.10%,353.71,0.40%,
6/29/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.163227,,427.7,0.10%,354.99,-0.20%,
6/30/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.164205,,428.06,0.60%,354.43,0%,
7/1/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.139002,,430.43,0.80%,354.57,1.10%,
7/2/2021,SPY,"absm2M(5,1)(spy,tbill)",1,,0.147707,,433.72,0%,358.64,0%,
